Filepath,Type,Category,Lines,Description
CLIP_radford21a/src/clip_model.py,Python,Model,103,"Image & text encoders, contrastive learning"
CLIP_radford21a/src/train.py,Python,Training,167,Training pipeline with dataloader
CLIP_radford21a/src/evaluate.py,Python,Evaluation,172,Zero-shot classification & retrieval
CLIP_radford21a/README.md,Markdown,Docs,88,CLIP documentation
CLIP_radford21a/requirements.txt,Text,Config,23,Dependencies
LoRA_2106.09685v1/src/lora_model.py,Python,Model,161,LoRA layers & adaptation
LoRA_2106.09685v1/src/train.py,Python,Training,150,Parameter-efficient fine-tuning
LoRA_2106.09685v1/README.md,Markdown,Docs,89,LoRA documentation
LoRA_2106.09685v1/requirements.txt,Text,Config,23,Dependencies
Frozen_2106.13884v2/src/frozen_model.py,Python,Model,227,Vision encoder + frozen LM
Frozen_2106.13884v2/README.md,Markdown,Docs,90,Frozen documentation
Frozen_2106.13884v2/requirements.txt,Text,Config,23,Dependencies
model_comparison/compare_models.py,Python,Analysis,265,Model comparison suite
README.md,Markdown,Docs,200,Main project README
GETTING_STARTED.md,Markdown,Docs,350,Comprehensive tutorial
PROJECT_SUMMARY.md,Markdown,Docs,250,Technical summary
PROJECT_COMPLETION_REPORT.md,Markdown,Docs,300,Completion report
project_metadata.json,JSON,Config,30,Project metadata
project_statistics.json,JSON,Data,50,Project statistics
